X,Y,Horizontal_Angle,Vertical_Angle,Velocity,Distance_to_goal,IfLeft
-33.0,0.0,29.290349824402156,18.699603714499418,32.9999610302526,60.195950860502236,1
-33.0,1.0,29.762849866135625,18.609056977493815,32.99811645410977,59.32581647141487,1
-33.0,2.0,30.24938233631464,18.07809992282391,32.99892991310576,58.45983664020966,1
-33.0,3.0,36.44156077650582,19.0851155842026,32.999726471202905,61.531719462404105,0
-33.0,4.0,31.266814350039212,17.567108072200448,32.9995125104533,56.74110062379827,1
-33.0,5.0,31.798912824294412,17.6034495274514,32.99966880706797,55.88875110431436,1
-33.0,6.0,32.347443499442036,17.275986988242856,32.99944385150448,55.04137080415058,1
-33.0,7.0,38.77479829139232,18.132352866555305,32.999895986728134,58.362252355439466,0
-33.0,8.0,39.39791483741998,17.84030650446384,32.9998494103951,57.58604431630983,0
-33.0,9.0,34.09845185791612,16.531750621689543,32.999863237941824,52.53144296514231,1
-33.0,10.0,34.7196823326583,16.42324469895423,32.99960884929304,51.70640675970435,1
-33.0,11.0,41.371111185950774,17.51234967171818,32.9997512667737,55.30056509657021,0
-33.0,12.0,42.06527741040056,17.23954040456465,32.99960019275286,54.554124500352856,0
-33.0,13.0,42.77859499296416,17.05781765317727,32.99963578077652,53.81591307410848,0
-33.0,14.0,37.4136415563298,15.8447090928969,32.999915415194806,48.472182744332855,1
-33.0,15.0,44.26498305725256,16.54984705018513,32.999893326644816,52.36556597612595,0
-33.0,16.0,45.03921681763559,16.278291519022538,32.999999627614166,51.65416246538123,0
-33.0,17.0,45.8349244981747,16.405106471925503,32.99968312815269,50.95245332660636,0
-33.0,18.0,46.652692054716034,16.007202103632366,32.999927135075126,50.260844600941596,0
-33.0,19.0,41.31884775222155,14.818591298261621,32.99975704560513,44.60440000717418,1
-33.0,20.0,42.181418275295655,14.495604356596544,32.99964426890829,43.8583230413567,1
-33.0,21.0,43.07363269836636,14.621050262901454,32.999917421800376,43.12252891471,1
-33.0,22.0,50.1559029725021,15.484118660431264,32.999806162537524,47.60412272062158,0
-33.0,23.0,51.09253073351853,15.466094316111292,32.99982438868943,46.96969767839686,0
-33.0,24.0,52.05454187089654,15.142089779909359,32.99980313077738,46.34816609101162,0
-33.0,25.0,53.04241758295407,15.034300078912883,32.999578892349355,45.7400535635891,0
-33.0,26.0,54.0566037578599,14.746677435456178,32.99994625833464,45.14590236112243,0
-33.0,27.0,55.09750438407528,14.6750138689127,32.99963903237611,44.566270878322314,0
-33.0,28.0,56.16547446429502,14.69280786182019,32.999979023791305,44.0017329204203,0
-33.0,29.0,57.26081245995671,14.58518235155627,32.999881770547425,43.45287677473149,0
-33.0,30.0,58.38375230933865,14.280418773145051,32.99984429716937,42.920304052977066,0
-33.0,31.0,59.53445508054011,14.405839768280524,32.99990341422377,42.40462828512944,0
-33.0,32.0,60.71300034108922,14.388623968886495,32.998310493862824,41.90647324698178,0
-33.0,33.0,61.91937734826092,14.245444255424323,32.997905285581986,41.42647100586773,0
-33.0,34.0,63.153476187931176,13.761419818857323,32.9999027181285,40.96525967206848,0
-33.0,35.0,64.41507901425719,13.690199538395115,32.999262097824996,40.52348084752838,0
-32.0,0.0,28.45347483024721,18.700401433643023,32.99860366383719,59.71308483071361,1
-32.0,1.0,28.91745391894367,18.15059365779214,32.99994842068174,58.8358096740412,1
-32.0,2.0,29.395446357859406,18.187187471408745,32.99986624762166,57.96250943497875,1
-32.0,3.0,29.888027091746252,17.87673330906391,32.999949291362874,57.0933665148588,1
-32.0,4.0,30.395798062709652,17.60349610499996,32.99958425719997,56.228573697009246,1
-32.0,5.0,36.81195485806646,18.49808082390738,32.99998294624128,59.330030338775316,0
-32.0,6.0,31.459460362078197,17.18497114072001,32.999673642149666,54.51286545394583,1
-32.0,7.0,38.00117601983607,18.02281405430692,32.99981627858331,57.74125474909599,0
-32.0,8.0,38.62053229402798,17.639742546075674,32.99992546200947,56.95658434281325,0
-32.0,9.0,33.18560864997523,16.51362873869786,32.999885830961894,51.97742298344542,1
-32.0,10.0,39.91149037914062,17.548733288437553,32.99981075403505,55.40805446864201,0
-32.0,11.0,40.58423556069916,17.14873888742058,32.999464674190364,54.644784746579425,0
-32.0,12.0,41.27594202725171,16.839954271524963,32.99973481930005,53.88926145346584,0
-32.0,13.0,41.987212495816664,16.803561452609575,32.99995509435537,53.14181498594115,0
-32.0,14.0,42.71866011899664,16.495657749338775,32.999618297820064,52.40279095620767,0
-32.0,15.0,43.470907000688804,16.40508258787273,32.99972985204728,51.67255074021409,0
-32.0,16.0,44.244582421131106,16.224080348587993,32.99991312387084,50.95147201013921,0
-32.0,17.0,45.040320738954804,16.260217045829734,32.99997563693208,50.23994924360493,0
-32.0,18.0,39.51027691909463,14.638958027585906,32.99999777605355,44.71747421310823,1
-32.0,19.0,46.70053377240573,15.538229342441205,32.99969328603735,48.84723635990065,0
-32.0,20.0,41.19840382815267,14.51352747224075,32.999668814342265,43.193199696248485,1
-32.0,21.0,42.08754647873614,14.190813098012056,32.99994278102175,42.445877302748734,1
-32.0,22.0,49.372170319489335,15.430076523366235,32.999806310524285,46.840714127775634,0
-32.0,23.0,50.31353027342345,15.249985532858783,32.999916215012476,46.19580608670012,0
-32.0,24.0,44.949696431262915,13.672043040803615,32.99994095809032,40.26974670891288,1
-32.0,25.0,52.27595619358244,14.746878129044001,32.99950711550152,44.94499415952793,0
-32.0,26.0,47.03239137001114,13.707788855727612,32.999927524783644,38.87997556583594,1
-32.0,27.0,54.348141849982625,14.38788781296694,32.999963209914874,43.74988571413644,0
-32.0,28.0,55.42654683550168,14.370036940038554,32.99979915279154,43.1746742894489,0
-32.0,29.0,56.53367014385676,14.29834465875833,32.99982366760878,42.615167487644584,0
-32.0,30.0,57.66981426494965,14.37061489974146,32.99849990758645,42.071991871077365,0
-32.0,31.0,58.835206470091876,14.190832104936113,32.99989948904489,41.54578799348978,0
-32.0,32.0,60.02998909736401,13.779947278085336,32.99837331760312,41.03720872574059,0
-32.0,33.0,61.25420954463046,13.672623644125947,32.99856632641551,40.54691726876409,0
-32.0,34.0,62.50781010745105,13.797145711773405,32.999968164959704,40.07558483665584,0
-32.0,35.0,63.79061782922899,13.690115884435558,32.999459888967195,39.62388799701513,0
-31.0,0.0,27.603139693348126,18.296818416276565,32.999964177527616,59.24316416262724,1
-31.0,1.0,33.856624555401226,19.28716987541942,32.99999892660036,62.01574396876973,0
-31.0,2.0,34.37831101144331,18.883018028320407,32.99993587856925,61.18784601536485,0
-31.0,3.0,29.010360262687406,17.566950891924435,32.99979846293333,56.60170050449015,1
-31.0,4.0,29.508966333483542,17.60331102123011,32.99992023309441,55.72927866032361,1
-31.0,5.0,36.03095930195416,18.260270215413414,32.99992619173582,58.736296274109755,0
-31.0,6.0,30.55431295754088,17.112249660529777,32.999748796204464,53.99770828470408,1
-31.0,7.0,37.210880230282136,17.71265408257244,32.99988831242672,57.131011718680426,0
-31.0,8.0,31.668523915428615,16.549913049219743,32.99976540757959,52.28529908109927,1
-31.0,9.0,32.25333866575133,16.206097867107548,32.9997165350894,51.43687879333271,1
-31.0,10.0,32.85770385186643,16.278331860818124,32.999920057705275,50.59399667944805,1
-31.0,11.0,39.778400600164076,17.16666672086262,32.99991867612429,53.99956018339409,0
-31.0,12.0,40.46704438857105,17.003191721502013,32.99991719056644,53.234880482630935,0
-31.0,13.0,34.79685522225635,15.556295719327569,32.99960136123244,48.10148126617308,1
